time_s,ax,ay,az,gx,gy,gz,mx,my,mz
2.226636,1.188555,0.564629,9.794825,-0.305176,-0.793457,0.183105,-3.779202,-7.941784,-73.082170
2.246337,1.136386,0.557854,9.778961,-0.305176,-0.732422,-0.061035,-3.311999,-8.864160,-72.163444
2.266146,1.197628,0.573664,9.794825,-0.671387,-2.746582,0.000000,-1.910390,-9.786535,-73.541533
2.285789,1.206701,0.510425,9.837884,-0.488281,-2.075195,0.000000,-4.947210,-8.633566,-73.311852
2.305260,1.184019,0.537527,9.808422,-0.549316,-2.014160,0.061035,-2.611194,-6.788814,-71.474400
2.324688,1.170409,0.548820,9.754032,-0.488281,-1.953125,-0.183105,-4.246405,-8.864160,-72.163444
2.343737,1.333722,0.508166,9.885476,0.061035,0.793457,-0.244141,-5.180811,-7.480596,-73.541533
2.362326,1.136386,0.564629,9.781227,-0.061035,0.366211,-0.244141,-2.611194,-8.172378,-73.311852
2.381446,1.252066,0.544303,9.819754,-0.183105,-1.220703,0.061035,-4.480007,-8.172378,-71.933763
2.400929,1.159068,0.526235,9.801624,-0.305176,-1.037598,-0.183105,-5.881616,-8.633566,-72.852489
2.419494,1.222579,0.546561,9.799357,-0.244141,-0.366211,-0.366211,-3.545601,-7.711190,-71.474400
2.438838,1.222579,0.517201,9.751766,-0.305176,-0.427246,-0.244141,-2.377593,-7.941784,-72.163444
2.458792,1.129581,0.514942,9.747233,0.061035,0.671387,-0.183105,-3.779202,-8.402972,-71.704081
2.478567,1.277016,0.553337,9.858280,-0.366211,-1.403809,0.000000,-3.078397,-9.094753,-72.393126
2.498695,1.181750,0.551078,9.731369,-0.183105,-1.342773,-0.183105,-5.648014,-8.402972,-74.000896
2.518710,1.202164,0.557854,9.765363,-0.427246,-2.197266,0.000000,-5.648014,-10.708911,-73.541533
2.538124,1.120508,0.553337,9.747233,-0.915527,-4.272461,0.000000,-5.180811,-8.402972,-71.244718
2.557270,1.272480,0.521718,9.853748,-3.234863,-15.686035,0.244141,-4.480007,-7.250002,-71.015037
2.576633,1.512913,0.510425,9.910405,-1.220703,-5.310059,-0.122070,-5.881616,-9.094753,-71.933763
