time_s,ax,ay,az,gx,gy,gz,mx,my,mz
2.229473,1.397233,0.530752,9.792559,0.000000,-0.061035,-0.122070,20.748959,15.809388,-71.015037
2.246023,1.374550,0.575922,9.774428,0.000000,0.122070,-0.061035,21.683365,14.425824,-69.636948
2.262959,1.345063,0.555595,9.778961,-0.183105,-0.183105,-0.122070,20.515357,15.117606,-70.785355
2.279608,1.338259,0.508166,9.835618,0.000000,-0.061035,-0.244141,19.580951,15.117606,-69.407266
2.296418,1.379087,0.523976,9.794825,0.000000,0.183105,0.061035,20.515357,15.117606,-68.029177
2.313463,1.347332,0.512684,9.783493,-0.061035,0.000000,-0.061035,20.281756,13.964637,-68.718222
2.330557,1.374550,0.542044,9.819754,-0.183105,-0.183105,-0.061035,19.814553,15.348200,-68.258859
2.347626,1.347332,0.535269,9.742701,-0.122070,-0.061035,-0.122070,20.748959,15.348200,-69.636948
2.364307,1.349600,0.523976,9.769896,-0.122070,-0.061035,0.122070,18.412944,13.503449,-71.474400
2.380931,1.385892,0.517201,9.767630,-0.305176,-0.122070,0.000000,21.449764,13.734043,-69.407266
2.397819,1.383623,0.553337,9.810689,-0.244141,0.183105,-0.061035,21.683365,16.270576,-70.096311
2.414908,1.370014,0.546561,9.815221,-0.061035,0.061035,-0.061035,19.580951,15.578794,-69.407266
2.431836,1.372282,0.587215,9.783493,0.061035,-0.061035,-0.061035,20.748959,14.425824,-71.015037
2.448568,1.394964,0.546561,9.812955,-0.183105,0.122070,0.061035,20.281756,16.731763,-69.177585
2.465663,1.345063,0.551078,9.760831,0.061035,-0.122070,0.061035,21.216162,16.270576,-69.177585
2.482681,1.404037,0.537527,9.808422,-0.244141,0.122070,0.061035,18.179342,14.656418,-69.866629
2.499588,1.367746,0.487840,9.808422,-0.122070,-0.122070,-0.122070,20.048154,15.117606,-67.569814
2.515886,1.360941,0.499132,9.783493,0.000000,-0.122070,0.000000,22.150568,16.270576,-69.177585
2.532453,1.390428,0.478806,9.740434,-0.061035,0.061035,0.000000,21.683365,14.425824,-70.096311
2.549232,1.370014,0.481064,9.794825,-0.061035,-0.061035,-0.061035,19.814553,14.425824,-69.636948
2.566277,1.358673,0.542044,9.735902,-0.183105,0.061035,-0.061035,20.281756,14.425824,-68.258859
2.583354,1.349600,0.523976,9.794825,-0.061035,0.183105,-0.061035,19.580951,16.039982,-69.407266
2.600337,1.351868,0.519459,9.812955,-0.061035,0.183105,0.122070,21.916967,17.423545,-68.488540
2.616865,1.433524,0.517201,9.801624,-0.183105,0.000000,-0.183105,22.150568,15.348200,-69.636948
2.633747,1.399501,0.544303,9.769896,-0.183105,0.061035,-0.061035,21.216162,13.964637,-67.340133
2.650829,1.381355,0.537527,9.817487,0.000000,-0.061035,0.122070,18.880147,13.042261,-68.258859
2.667880,1.381355,0.501391,9.806156,-0.061035,-0.122070,-0.061035,20.982561,14.656418,-69.407266
2.684496,1.372282,0.544303,9.772162,-0.183105,-0.061035,-0.061035,21.449764,15.578794,-67.110451
2.700924,1.376819,0.539786,9.776695,-0.183105,0.122070,0.061035,21.916967,15.117606,-68.947903
2.718023,1.379087,0.546561,9.799357,-0.183105,0.122070,-0.183105,20.281756,14.887012,-68.718222
2.734997,1.311040,0.526235,9.833351,-0.122070,0.305176,0.122070,18.646545,16.039982,-69.866629
2.751554,1.365477,0.514942,9.756298,-0.122070,0.000000,0.000000,20.048154,14.195231,-69.407266
2.768648,1.372282,0.530752,9.801624,0.000000,-0.122070,0.183105,18.179342,11.889292,-71.704081
2.785670,1.356404,0.535269,9.801624,-0.061035,-0.061035,-0.122070,17.945741,14.425824,-69.636948
2.802660,1.394964,0.539786,9.772162,-0.061035,-0.122070,-0.122070,20.281756,15.348200,-70.096311
